word,definition
abasement,"{'Noun': ['a low or downcast state', 'depriving one of self-esteem']}"
abate,"{'Verb': ['make less active or intense', 'become less in amount or intensity']}"
aberrant,"{'Noun': ['one whose behavior departs substantially from the norm of a group'], 'Adjective': ['markedly different from an accepted norm']}"
aberration,"{'Noun': ['a state or condition markedly different from the norm', ""a disorder in one's mental state"", 'an optical phenomenon resulting from the failure of a lens or mirror to produce a good image']}"
abeyance,{'Noun': ['temporary cessation or suspension']}
abjure,"{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}"
abreast,"{'Adjective': ['being up to particular standard or level especially in being up to date in knowledge'], 'Adverb': ['alongside each other, facing in the same direction']}"
abscond,{'Verb': ['run away; usually includes taking something or somebody along']}
abstain,"{'Verb': ['refrain from voting', 'choose not to consume']}"
abstemious,"{'Adjective': ['sparing in consumption of especially food and drink', 'marked by temperance in indulgence']}"
abstruse,{'Adjective': ['difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge']}
abyss,"{'Noun': ['a bottomless gulf or pit; any unfathomable (or apparently unfathomable', 'often used figuratively']}"
accession,"{'Noun': ['a process of increasing by addition (as to a collection or group', '(civil law', 'something added to what you already have', 'agreeing with or consenting to (often unwillingly', 'the right to enter', 'the act of attaining or gaining access to a new office or right or position (especially the throne'], 'Verb': ['make a record of additions to a collection, such as a library']}"
acerbic,"{'Adjective': ['sour or bitter in taste', 'harsh or corrosive in tone']}"
acolyte,{'Noun': ['someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches']}
acumen,"{'Noun': ['a tapering point', 'shrewdness shown by keen insight']}"
adept,"{'Noun': ['someone who is dazzlingly skilled in any field'], 'Adjective': ['having or showing knowledge and skill and aptitude']}"
aesthetic,"{'Noun': ['(philosophy'], 'Adjective': ['relating to or dealing with the subject of aesthetics', 'concerning or characterized by an appreciation of beauty or good taste', 'aesthetically pleasing']}"
agog,"{'Adjective': ['highly excited by eagerness, curiosity, etc.']}"
alacrity,{'Noun': ['liveliness and eagerness']}
alleviate,"{'Verb': ['provide physical relief, as from pain', 'make easier']}"
allure,"{'Noun': ['the power to entice or attract through personal charm'], 'Verb': ['dispose or incline or entice to']}"
altruism,{'Noun': ['the quality of unselfish concern for the welfare of others']}
amalgamate,"{'Verb': ['to bring or combine together or with something else'], 'Adjective': ['joined together into a whole']}"
ambivalence,{'Noun': ['mixed feelings or emotions']}
ambivalent,{'Adjective': ['uncertain or unable to decide about what course to follow']}
ameliorate,"{'Verb': ['to make better', 'get better']}"
anachronism,"{'Noun': ['something located at a time when it could not have existed or occurred', 'an artifact that belongs to another time', 'a person who seems to be displaced in time; who belongs to another age']}"
annul,"{'Verb': ['declare invalid', 'cancel officially']}"
anodyne,"{'Noun': ['a medicine used to relieve pain'], 'Adjective': ['capable of relieving pain']}"
antipathy,"{'Noun': ['a feeling of intense dislike', 'the object of a feeling of intense aversion; something to be avoided']}"
apathy,"{'Noun': ['an absence of emotion or enthusiasm', 'the trait of lacking enthusiasm for or interest in things generally']}"
apostle,"{'Noun': ['an ardent early supporter of a cause or reform', 'any important early teacher of Christianity or a Christian missionary to a people', '(New Testament']}"
apprise,"{'Verb': ['inform (somebody', 'make aware of', 'gain in value', 'increase the value of']}"
approbation,"{'Noun': ['official approval', 'official recognition or approval']}"
appropriate,"{'Verb': ['give or assign a resource to a particular person or cause', 'take possession of by force, as after an invasion'], 'Adjective': ['suitable for a particular person or place or condition etc']}"
arbiter,"{'Noun': ['someone with the power to settle matters at will', 'someone chosen to judge and decide a disputed issue']}"
arbitrary,{'Adjective': ['based on or subject to individual discretion or preference or sometimes impulse or caprice']}
armada,{'Noun': ['a large fleet']}
arson,{'Noun': ['malicious burning to destroy property']}
artless,"{'Adjective': ['characterized by an inability to mask your feelings; not devious', 'simple and natural; without cunning or deceit', 'showing lack of art', '(of persons']}"
ascetic,"{'Noun': ['someone who practices self denial as a spiritual discipline'], 'Adjective': ['pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline', 'practicing great self-denial']}"
ascribe,{'Verb': ['attribute or credit to']}
assiduous,{'Adjective': ['marked by care and persistent effort']}
audacious,"{'Adjective': ['invulnerable to fear or intimidation', 'unrestrained by convention or propriety', 'disposed to venture or take risks']}"
austere,"{'Adjective': ['severely simple', 'of a stern or strict bearing or demeanor; forbidding in aspect', 'practicing great self-denial']}"
